"","District","June2015_votes","Nov2015_votes"
"1","Adana",368055,462362
"2","Edirne",63381,70648
"3","Kutahya",200179,251067
"4","Usak",86399,105992
"5","Adiyaman",178387,222189
"6","Elazig",169043,219485
"7","Malatya",257512,309173
"8","Van",95480,142436
"9","Afyonkarahisar",222467,273797
"10","Erzincan",63931,74940
"11","Manisa",327012,393858
"12","Yozgat",139934,157622
"13","Agri",37622,57780
"14","Erzurum",209875,275427
"15","Kahramanmaras",352949,431802
"16","Zonguldak",142329,185261
"17","Amasya",95918,109491
"18","Eskisehir",190338,232668
"19","Mardin",72645,107804
"20","Aksaray",119896,151423
"21","Ankara1",653128,808762
"22","Ankara2",667389,810210
"23","Gaziantep",428451,581085
"24","Mugla",148528,172268
"25","Bayburt",27219,32730
"26","Antalya",456645,560344
"27","Giresun",139893,165268
"28","Mus",46940,61768
"29","Karaman",80042,94321
"30","Artvin",41982,48128
"31","Gumushane",41682,50445
"32","Nevsehir",90819,110867
"33","Kirikkale",81710,102479
"34","Aydin",192688,226022
"35","Hakkari",12493,17216
"36","Nigde",91065,110633
"37","Batman",47921,73775
"38","Balikesir",305602,361821
"39","Hatay",312887,367940
"40","Ordu",221213,276892
"41","Sirnak",19357,23822
"42","Bilecik",49172,61338
"43","isparta",114348,138723
"44","Rize",131168,152923
"45","Bartin",49600,63965
"46","Bingol",61293,83492
"47","Mersin",266760,325723
"48","Sakarya",324001,399039
"49","Ardahan",14759,19916
"50","Bitlis",47788,65370
"51","istanbul1",1232292,1556199
"52","istanbul2",1044226,1356649
"53","istanbul3",1117344,1468968
"54","Samsun",399684,501843
"55","igdir",10293,28816
"56","Bolu",95752,117527
"57","izmir1",335329,406392
"58","izmir2",358953,432687
"59","Siirt",40137,51409
"60","Yalova",54366,68818
"61","Burdur",71464,84716
"62","Kars",38950,50267
"63","Sinop",60087,71770
"64","Karabuk",67540,86994
"65","Bursa",767541,975760
"66","Kastamonu",111835,137752
"67","Sivas",212853,256886
"68","Kilis",32279,43941
"69","Canakkale",116367,135609
"70","Kayseri",409658,528722
"71","Tekirdag",177458,217582
"72","Osmaniye",108756,132713
"73","Cankiri",64313,75808
"74","Kirklareli",53399,64270
"75","Tokat",180538,212144
"76","Duzce",130782,159916
"77","Corum",180281,207137
"78","Kirsehir",52732,67797
"79","Trabzon",253418,315194
"80","Denizli",247998,289081
"81","Kocaeli",487781,621198
"82","Tunceli",5631,5837
"83","Diyarbakir",112752,169174
"84","Konya",798526,938230
"85","Sanliurfa",356537,519078
